lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-09-26 14:04:02.496149,0.012651022523641586,5.997375410515815e-05,0.012651022523641586,6349.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:04:28.389244,,,,,,,,,,,,,,
,2022-09-26 14:04:28.910131,0.015292778611183167,6.960129394428805e-05,0.015292778611183167,6399.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:04:54.847284,,,,,,,,,,,,,,
,2022-09-26 14:04:55.371975,0.05555875599384308,0.00018361468391958624,0.05555875599384308,6449.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:05:21.216029,,,,,,,,,,,,,,
,2022-09-26 14:05:51.900027,0.005039380397647619,2.5702645871206187e-05,0.005039380397647619,6499.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:06:17.805662,,,,,,,,,,,,,,
,2022-09-26 14:06:18.327521,0.002448613988235593,1.4791638022870757e-05,0.002448613988235593,6549.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:06:44.239725,,,,,,,,,,,,,,
,2022-09-26 14:06:44.764511,0.07119447737932205,0.00023456249618902802,0.07119447737932205,6599.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:07:10.764257,,,,,,,,,,,,,,
,2022-09-26 14:07:11.284614,0.054926104843616486,0.000195156637346372,0.054926104843616486,6649.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:07:37.242593,,,,,,,,,,,,,,
,2022-09-26 14:07:37.763476,0.07865709066390991,0.0002588319475762546,0.07865709066390991,6699.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:08:03.744245,,,,,,,,,,,,,,
,2022-09-26 14:08:04.267102,0.35448503494262695,0.004349800758063793,0.35448503494262695,6749.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:08:30.162584,,,,,,,,,,,,,,
